,category,name,subs_last30d_count,views_last30d_count
182,Entertainment,Zee Tamil,194427 ,111542400
183,,ABCkidTV Misa,465664 ,107191500
184,Sports,Toy For Kids [토이포키즈],513742 ,137132100
185,Music,KatyPerryVEVO,-73855 ,113909700
186,Entertainment,MrSuicideSheep,221067 ,115148400
187,Entertainment,Guava Juice,327236 ,118819200
188,Film,Official Pink Panther,288788 ,110187900
189,Music,DEL Records,163328 ,114834600
190,Music,avex,62380 ,110841300
191,Music,TheWeekndVEVO,-32572 ,108934200
192,Music,Sonotek Haryanvi,254401 ,123483300
193,,Gjigandet e Vegjel,383995 ,91386600
194,Entertainment,Zee Marathi,181464 ,120346500
195,Games,Vanimy,1277 ,-6875220
196,Entertainment,Познаватель,275268 ,107105100
197,,Ninja Kidz TV,300117 ,103465200
198,News,Thairath,222673 ,106364100
199,Entertainment,Toys Make Me Smile,277336 ,110490900
200,Entertainment,Cut,321125 ,122301000
201,,Çukur,141395 ,123291000
202,Education,Tareasplus,-130 ,51153600
203,Music,Chris Rinaldi,-2112 ,50871300
204,Entertainment,KOCOWA TV,176833 ,101148600
205,Film,Toys Unlimited,186050 ,115910700
206,Sports,NFL,171459 ,106431900
207,,Kiddiestv Hindi,245870 ,100186500
208,,FlareTV,415664 ,81931800
209,People,Kids Learning Songs,0 ,94165200
210,Entertainment,ToyTocToc,430462 ,131503500
211,Games,BCC Trolling,310665 ,107660700
212,People,Colgate - Brasil,16990 ,47374200
213,Howto,5-Minute Crafts KIDS,735701 ,108955200
214,Music,EHPMusicChannel,69991 ,102012300
215,People,HIMAWARIちゃんねる,92487 ,97682100
216,Education,Dave and Ava - Nursery Rhymes and Baby Songs,195194 ,103458900
